team,arena,avg_start_time
Minnesota Timberwolves,Target Center,8:00 PM
Boston Celtics,TD Garden,6:36 PM
Toronto Raptors,Scotiabank Arena,7:00 PM
Oklahoma City Thunder,Paycom Center,7:45 PM
New York Knicks,Madison Square Garden (IV),6:12 PM
Washington Wizards,Capital One Arena,6:42 PM
Los Angeles Lakers,Crypto.com Arena,9:43 PM
New Orleans Pelicans,Smoothie King Center,7:54 PM
Milwaukee Bucks,Fiserv Forum,7:24 PM
Utah Jazz,Vivint Smart Home Arena,9:04 PM
Phoenix Suns,Phoenix Suns Arena,9:09 PM
San Antonio Spurs,AT&T Center,8:18 PM
Los Angeles Clippers,Crypto.com Arena,9:02 PM
Charlotte Hornets,Spectrum Center,6:47 PM
Orlando Magic,Amway Center,6:46 PM
Philadelphia 76ers,Wells Fargo Center,6:55 PM
Indiana Pacers,Gainbridge Fieldhouse,6:38 PM
Atlanta Hawks,State Farm Arena,7:11 PM
Denver Nuggets,Ball Arena,8:42 PM
Cleveland Cavaliers,Rocket Mortgage Fieldhouse,6:51 PM
Detroit Pistons,Little Caesars Arena,6:13 PM
Portland Trail Blazers,Moda Center,9:48 PM
Chicago Bulls,United Center,7:39 PM
Dallas Mavericks,American Airlines Center,7:56 PM
Brooklyn Nets,Barclays Center,7:01 PM
Miami Heat,FTX Arena,7:28 PM
Houston Rockets,Toyota Center,7:32 PM
Golden State Warriors,Chase Center,9:27 PM
Memphis Grizzlies,FedEx Forum,7:38 PM
Sacramento Kings,Golden 1 Center,9:17 PM
